gene.symbol	organs_affected
HMX1	Eye
CEP290	Kidney Renal Tract
FLNA	Face
SLX4	Bone Marrow/Immune
ARG1	Endocrine/Metabolic
POLR3A	Teeth & Dentitian
ATR	Face
FANCB	Bone Marrow/Immune
ALG9	Endocrine/Metabolic
NTRK1	Spinal cord/Peripheral nerves
MYH9	Bone Marrow/Immune
YAP1	Kidney Renal Tract
BBS9	Skeleton
TRIM32	Musculature
PAX2	Kidney Renal Tract
FGFR3	Skin
NSD1	Face
ADAR	Brain/Cognition
MTOR	Brain/Cognition
MFRP	Eye
FEZF1	Genitalia
FLNB	Skeleton
NAA10	Face
MOGS	Endocrine/Metabolic
AGPS	Skeleton
OFD1	Kidney Renal Tract
PAFAH1B1	Brain/Cognition
COL1A1	Skeleton
CAMTA1	Brain/Cognition
CHST3	Skeleton
HRAS	Skin
RPGRIP1	Eye
RIPK4	Skeleton
BRIP1	Bone Marrow/Immune
TBX3	Musculature
LAMA1	Brain/Cognition
ERLIN2	Brain/Cognition
PCCA	Endocrine/Metabolic
FKRP	Musculature
COX15	Musculature
COG7	Endocrine/Metabolic
SCN2A	Brain/Cognition
MECP2	Brain/Cognition
BRAF	Skin
FTL	Endocrine/Metabolic
CBL	Skin
POMGNT1	Musculature
COL2A1	Face
TGFB3	Face
PIGO	Endocrine/Metabolic
GJA1	Teeth & Dentitian
PLK4	Brain/Cognition
ARSA	Endocrine/Metabolic
CLN3	Endocrine/Metabolic
LRP5	Skeleton
FOXP2	Brain/Cognition
DOCK6	Skin
SLC6A3	Brain/Cognition
PITX3	Eye
CHAMP1	Brain/Cognition
XPC	Bone Marrow/Immune
FOXE3	Eye
SUMO1	Face
STAT1	Bone Marrow/Immune
CLN8	Endocrine/Metabolic
RTEL1	Bone Marrow/Immune
GDF3	Skeleton
MKKS	Kidney Renal Tract
NPHS1	Kidney Renal Tract
ACAN	Skeleton
GJA8	Eye
LRPAP1	Eye
NAGA	Endocrine/Metabolic
