case_id	mean	median	sd
PD3851a	16.260416666666668	13	12.546540552063002
PD3890a	58.416666666666664	48.5	47.683974283911915
PD3904a	56.03125	43	45.662250474774595
PD3905a	44.5	38	32.772581608154674
PD3945a	103.47916666666667	95.5	65.41913114141953
PD3989a	21.666666666666668	16	21.271511299916046
PD4005a	60.135416666666664	38.5	89.87753302679407
PD4006a	90.73958333333333	84.5	49.048900366807246
PD4069a	21.552083333333332	13.5	22.424080004207255
PD4072a	280.0520833333333	23	1055.5117927466242
PD4080a	18.197916666666668	10.5	29.094987736782237
PD4085a	25.395833333333332	20	19.83642538185307
PD4086a	20.09375	13.5	26.63558289799173
PD4088a	16.416666666666668	10	17.941816294060768
PD4103a	52.520833333333336	28.5	61.32192518807552
PD4107a	102.90625	86.5	66.86909098340853
PD4109a	97.96875	74.5	98.23746237132703
PD4115a	99.45833333333333	93.5	54.3749006855314
PD4116a	80.02083333333333	67.5	56.04189770382167
PD4120a	701.7083333333334	41	2620.960703400937
PD4192a	35.822916666666664	27	32.7166446586336
PD4194a	12.927083333333334	8	15.04746510679958
PD4198a	43.541666666666664	30.5	41.36026994380673
PD4199a	67.95833333333333	19.5	189.8276734673717
PD4224a	82.86458333333333	19	264.5127643837435
PD4225a	21.916666666666668	14.5	22.483990405650946
PD4248a	22.791666666666668	18	16.760176275085232
PD4255a	47.75	38.5	36.641362879732114
PD4261a	20.364583333333332	15	15.961216014660867
PD4266a	28.1875	15	51.376896814772586
PD4267a	25.177083333333332	17	28.3804954489844
PD4315a	41.677083333333336	25.5	47.05707504088529
PD4604a	89.42708333333333	78.5	54.976118220199965
PD4605a	25.520833333333332	18.5	24.90021313232254
PD4606a	14.479166666666666	11.5	10.81030616117072
PD4607a	265.25	24	1003.0073306128713
PD4608a	24.020833333333332	17	22.63996427683004
PD4613a	20.6875	9	40.12383790742172
PD4826a	41.385416666666664	28	46.31184224856684
PD4833a	73.1875	65.5	42.36292134949097
PD4836a	46.177083333333336	39	29.998594630824982
PD4841a	74.91666666666667	72	39.79200307564235
PD4847a	120.01041666666667	100.5	78.77409336252444
PD4951a	30.96875	27	20.38237273776173
PD4952a	126.625	114.5	83.91690752417568
PD4953a	74.92708333333333	68.5	44.265287526735456
PD4954a	55.635416666666664	47	36.920717274114374
PD4955a	64.77083333333333	56	42.56499158665405
PD4957a	30.84375	26	22.739869057161304
PD4958a	86.79166666666667	76.5	63.47215165005608
PD4959a	44.104166666666664	42.5	24.791543195918397
PD4962a	57.729166666666664	30	111.48787795013662
PD4963a	15.427083333333334	10	15.509416353107394
PD4965a	29.635416666666668	23	23.241577893560844
PD4966a	10.864583333333334	8	9.21397084713913
PD4967a	37.28125	22	57.55705693163593
PD4968a	43.8125	27	55.77120790855213
PD4970a	22.604166666666668	17	19.620332722468056
PD4971a	26.25	21	23.338696125578764
PD4972a	10.979166666666666	9	9.553152322571101
PD4975a	71.53125	67.5	37.24681635988999
PD4976a	58.75	42	51.6113002722221
PD4980a	43	31	32.249357398738645
PD4981a	19.208333333333332	13	17.392628000734387
PD4982a	16.291666666666668	11.5	15.1441610541848
PD4983a	16.8125	13	13.148794221284483
PD4985a	18.96875	15.5	14.879482960032407
PD4986a	18.78125	17	13.118250144059049
PD5928a	67.64583333333333	63	36.60571688646365
PD5934a	123.6875	112.5	65.49862393090488
PD5935a	111.5	98.5	80.88640507721794
PD5936a	26.6875	19.5	22.664283285427434
PD5942a	64.05208333333333	50	43.51657150573831
PD5944a	29.041666666666668	23.5	21.050273990799248
PD5947a	17.28125	10	19.360134365018723
PD5951a	41.875	29.5	40.98529903321562
PD5956a	46.322916666666664	34.5	36.81261076592516
PD6018a	28.458333333333332	23.5	20.316918885068574
PD6041a	16.8125	13	14.524253762876118
PD6042a	68.19791666666667	52	67.91614330871434
PD6043a	233.89583333333334	99.5	538.844347785472
PD6044a	25.65625	21	20.075556294317618
PD6045a	21.666666666666668	13	28.188712435510947
PD6046a	34.739583333333336	25	29.21832330347973
PD6049a	75.70833333333333	65.5	53.41001614455291
PD6409a	63.885416666666664	54.5	50.12801922481587
PD6410a	74.29166666666667	69.5	51.80670890646594
PD6411a	78.73958333333333	70.5	49.641715223699485
PD6413a	50.354166666666664	40.5	43.70570941064473
