case_id	mean	median	sd
APGI_1839	51.416666666666664	36.5	53.38039590211622
APGI_1840	121.15625	79	132.13090224829077
APGI_1956	48.177083333333336	37	49.76449691807176
APGI_1992	98.40625	82	81.00702739171525
APGI_2000	78.51041666666667	62.5	67.35170763930059
APGI_2051	41.6875	28.5	40.20717728544442
APGI_2057	156.23958333333334	146	94.3083123859595
APGI_2060	67.15625	48	57.89524625972054
APGI_2119	38.895833333333336	25	44.08949729731363
APGI_2137	115.78125	84.5	98.86697102939038
APGI_2150	11.416666666666666	6	14.877511582156234
APGI_2157	71.90625	27	141.4410852337653
APGI_2179	152.39583333333334	138.5	95.88375408923878
APGI_2202	38.552083333333336	26	38.76375675446456
APGI_2353	75.67708333333333	56.5	70.40775896113881
