gene.symbol	organ1	organ2	organ3	organ4	organ5	organ6	organ7	organ8
HMX1	Eye	Ear						
CEP290	Kidney Renal Tract	Brain/Cognition						
FLNA	Face	Skeleton	Brain/Cognition					
SLX4	Bone Marrow/Immune	Skeleton	Brain/Cognition					
ARG1	Endocrine/Metabolic	Brain/Cognition						
POLR3A	Teeth & Dentitian	Brain/Cognition	Genitalia					
ATR	Face	Skeleton	Brain/Cognition					
FANCB	Bone Marrow/Immune	Skeleton	Cancer predisposition					
ALG9	Endocrine/Metabolic	Brain/Cognition						
NTRK1	Spinal cord/Peripheral nerves							
MYH9	Bone Marrow/Immune							
YAP1	Kidney Renal Tract	Face	Brain/Cognition	Eye	Ear			
BBS9	Skeleton	Brain/Cognition	Eye	Respiratory tract				
TRIM32	Musculature	Kidney Renal Tract	Brain/Cognition	Eye				
PAX2	Kidney Renal Tract	Eye						
FGFR3	Skin	Skeleton	Heart/Cardiovasculature/Lymphatic					
NSD1	Face	Skeleton	Brain/Cognition					
ADAR	Brain/Cognition							
MTOR	Brain/Cognition							
MFRP	Eye							
FEZF1	Genitalia							
FLNB	Skeleton							
NAA10	Face	Brain/Cognition	Heart/Cardiovasculature/Lymphatic					
MOGS	Endocrine/Metabolic	Brain/Cognition						
AGPS	Skeleton	Brain/Cognition	Eye					
OFD1	Kidney Renal Tract	Face	Skeleton	Brain/Cognition				
PAFAH1B1	Brain/Cognition							
COL1A1	Skeleton							
CAMTA1	Brain/Cognition							
CHST3	Skeleton							
HRAS	Skin	Face	Brain/Cognition	Heart/Cardiovasculature/Lymphatic				
RPGRIP1	Eye							
RIPK4	Skeleton							
BRIP1	Bone Marrow/Immune	Skeleton						
TBX3	Musculature	Skeleton						
LAMA1	Brain/Cognition							
ERLIN2	Brain/Cognition							
PCCA	Endocrine/Metabolic	Brain/Cognition						
FKRP	Musculature	Brain/Cognition	Eye					
COX15	Musculature	Endocrine/Metabolic	Brain/Cognition	GI tract	Heart/Cardiovasculature/Lymphatic			
COG7	Endocrine/Metabolic	Brain/Cognition						
SCN2A	Brain/Cognition							
MECP2	Brain/Cognition	GI tract						
BRAF	Skin	Brain/Cognition	Heart/Cardiovasculature/Lymphatic					
FTL	Endocrine/Metabolic	Eye						
CBL	Skin	Skeleton	Brain/Cognition	Heart/Cardiovasculature/Lymphatic				
POMGNT1	Musculature	Brain/Cognition	Eye					
