chr	start	end	strand	cytoband	Ensembl gene ID	hugo	copy category	copy change	avg cna	avg cna by gene	breakpoint	manually curated homd	loh	loh_ratio	intepreted expression status	RPKM	SARC percentile	SARC kIQR	FC mean Bodymap	avg TCGA percentile	avg TCGA kIQR	avg TCGA norm percentile	avg TCGA norm kIQR	UCEC norm percentile	UCEC norm kIQR	cancer gene type
X	99883667	99894988	-1	q22.1	ENSG00000000003	TSPAN6	Gain	1	0.25	0.26	0	0	HET	0.62		12.01	65	0.38	-1.54	25	-0.44	20	-0.7	21	-0.77	
X	99839799	99854882	1	q22.1	ENSG00000000005	TNMD	Gain	1	0.25	0.23	0	0	HET	0.6		2.99	90	4.52	-1.42	99	71	92	6.56	100	27.13	
20	49551404	49575092	-1	q13.13	ENSG00000000419	DPM1	Neutral	0	0.02	0.07	0	0	HET	0.55		22.83	40	-0.18	-1.19	46	-0.06	71	0.44	50	0.06	
1	169821804	169863408	-1	q24.2	ENSG00000000457	SCYL3	Gain	1	0.23	0.28	0	0	HET	0.49		4.33	75	0.54	1.04	49	-0.01	50	0	58	0.27	
1	169631245	169823221	1	q24.2	ENSG00000000460	C1orf112	Gain	1	0.23	0.24	0	0	HET	0.49		1.87	30	-0.33	1.01	37	-0.24	90	1.42	96	2.23	
1	27938575	27961788	-1	p36.11	ENSG00000000938	FGR	Loss	-1	-0.21	-0.22	0	0	HET	0.28		4.86	86	1.58	-2.39	74	0.63	74	0.63	46	-0.02	
1	196621008	196716634	1	q31.3	ENSG00000000971	CFH	Gain	1	0.23	0.23	0	0	HET	0.58		18.33	54	0.07	-2.31	67	0.38	45	-0.08	83	0.98	
6	143816614	143832827	-1	q24.2	ENSG00000001036	FUCA2	Neutral	0	0.01	-0.02	0	0	HET	0.55		20.57	49	-0.01	-1.14	65	0.29	78	0.66	88	1.4	
6	53362139	53481768	-1	p12.1	ENSG00000001084	GCLC	Neutral	0	0.01	0	0	0	HET	0.52		5.66	87	1.25	-1.33	37	-0.21	31	-0.33	42	-0.13	
6	41040684	41067715	1	p21.1	ENSG00000001167	NFYA	Neutral	0	0.01	0.01	0	0	HET	0.54		7.13	85	1.25	-1.14	62	0.24	81	0.91	79	0.43	
1	24683489	24743424	-1	p36.11	ENSG00000001460	STPG1	Loss	-1	-0.21	-0.2	0	0	HET	0.63		0.87	31	-0.29	-1.23	9	-0.87	9	-1.41	0	-2.12	
1	24742284	24799466	1	p36.11	ENSG00000001461	NIPAL3	Loss	-1	-0.21	-0.22	0	0	HET	0.63		2.49	64	0.26	-1.94	15	-0.54	12	-0.95	21	-0.38	
X	64732462	64754655	-1	q12	ENSG00000001497	LAS1L	Neutral	0	0.02	0.07	0	0	HET	0.49		7.29	33	-0.24	1.2	31	-0.31	74	0.47	17	-0.32	
